ET;uADR;SBUS;DBUS;ALU;RBUS;MEM;OTHER;SUCCESSOR
;40;PdMDR;Pd0;SUM;PmRG;NOP;+2SP;JUMP INTR_TEST
CALL;41;PdMDR;Pd0;SUM;PmT;NOP;NOP;STEP
;42;PdPC;Pd0;SUM;PmMDR;NOP;-2SP;STEP
;43;PdSP;Pd0;SUM;PmADR;WRITE;NOP;STEP
;44;PdT;Pd0;SUM;PmPC;NOP;NOP;JUMP INTR_TEST
WRITE_MEM;45;NONE;NONE;NONE;NONE;NOP;NOP;IF AM JUMP ILLEGAL ELSE STEP
;46;NONE;NONE;NONE;NONE;WRITE;NOP;JUMP INTR_TEST
BR;47;PdPC;PdIR[OFF];SUM;PmPC;NOP;NOP;JUMP INTR_TEST
;48;NONE;NONE;NONE;NONE;NOP;NOP;NONE
BNE;49;NONE;NONE;NONE;NONE;NOP;NOP;IF NZ JUMP BR ELSE STEP
;4A;NONE;NONE;NONE;NONE;NOP;NOP;JUMP INTR_TEST
BEQ;4B;NONE;NONE;NONE;NONE;NOP;NOP;IF Z JUMP BR ELSE STEP
;4C;NONE;NONE;NONE;NONE;NOP;NOP;JUMP INTR_TEST
BPL;4D;NONE;NONE;NONE;NONE;NOP;NOP;IF NS JUMP BR ELSE STEP
;4E;NONE;NONE;NONE;NONE;NOP;NOP;JUMP INTR_TEST
BMI;4F;NONE;NONE;NONE;NONE;NOP;NOP;IF S JUMP BR ELSE STEP
;50;NONE;NONE;NONE;NONE;NOP;NOP;JUMP INTR_TEST
BCS;51;NONE;NONE;NONE;NONE;NOP;NOP;IF C JUMP BR ELSE STEP
;52;NONE;NONE;NONE;NONE;NOP;NOP;JUMP INTR_TEST
BCC;53;NONE;NONE;NONE;NONE;NOP;NOP;IF NC JUMP BR ELSE STEP
;54;NONE;NONE;NONE;NONE;NOP;NOP;JUMP INTR_TEST
BVS;55;NONE;NONE;NONE;NONE;NOP;NOP;IF V JUMP BR ELSE STEP
;56;NONE;NONE;NONE;NONE;NOP;NOP;JUMP INTR_TEST
BVC;57;NONE;NONE;NONE;NONE;NOP;NOP;IF NV JUMP BR ELSE STEP
;58;NONE;NONE;NONE;NONE;NOP;NOP;JUMP INTR_TEST
CLC;59;NONE;NONE;NONE;NONE;NOP;A(0)C;JUMP INTR_TEST
;5A;NONE;NONE;NONE;NONE;NOP;NOP;NONE
CLV;5B;NONE;NONE;NONE;NONE;NOP;A(0)V;JUMP INTR_TEST
;5C;NONE;NONE;NONE;NONE;NOP;NOP;NONE
CLZ;5D;NONE;NONE;NONE;NONE;NOP;A(0)Z;JUMP INTR_TEST
;5E;NONE;NONE;NONE;NONE;NOP;NOP;NONE
CLS;5F;NONE;NONE;NONE;NONE;NOP;A(0)S;JUMP INTR_TEST
;60;NONE;NONE;NONE;NONE;NOP;NOP;NONE
CCC;61;NONE;NONE;NONE;NONE;NOP;A(0)CZSV;JUMP INTR_TEST
;62;NONE;NONE;NONE;NONE;NOP;NOP;NONE
SEC;63;NONE;NONE;NONE;NONE;NOP;A(1)C;JUMP INTR_TEST
;64;NONE;NONE;NONE;NONE;NOP;NOP;NONE
SEV;65;NONE;NONE;NONE;NONE;NOP;A(1)V;JUMP INTR_TEST
;66;NONE;NONE;NONE;NONE;NOP;NOP;NONE
SEZ;67;NONE;NONE;NONE;NONE;NOP;A(1)Z;JUMP INTR_TEST
;68;NONE;NONE;NONE;NONE;NOP;NOP;NONE
SES;69;NONE;NONE;NONE;NONE;NOP;A(1)S;JUMP INTR_TEST
;6A;NONE;NONE;NONE;NONE;NOP;NOP;NONE
SCC;6B;NONE;NONE;NONE;NONE;NOP;A(1)CZSV;JUMP INTR_TEST
;6C;NONE;NONE;NONE;NONE;NOP;NOP;NONE
